,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,VCH,VCD,VCA,MW,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,DC,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
4644,H,1.0,0.0,26.0,7.0,10.0,3.0,12.0,13.0,7.0,2.0,3.0,0.0,0.0,0.0,2.79,3.2,3.1,2.75,3.1,3.2,2.6,3.25,2.75,2.8,3.2,3.0,2.75,3.13,3.2,21.0,D,D,L,D,L,W,L,W,D,D,4,0,0,0,0,0,0,0,0,-0.47619047619047616,-0.047619047619047616,-0.3333333333333333,-0.3333333333333333,2.0
4645,H,0.0,0.0,25.0,15.0,8.0,7.0,8.0,12.0,13.0,5.0,0.0,4.0,0.0,0.0,1.19,3.2,3.2,1.18,3.1,3.1,1.2,3.3,2.95,1.2,3.1,3.1,1.2,3.2,3.13,21.0,W,D,D,W,W,L,W,L,L,L,4,0,0,0,0,0,0,1,0,0.14285714285714285,0.0,1.1904761904761905,0.2857142857142857,-12.0
4646,D,1.0,2.0,18.0,3.0,8.0,2.0,9.0,14.0,8.0,2.0,2.0,7.0,0.0,0.0,2.5,6.5,15.0,2.5,5.75,13.0,2.4,6.0,11.0,2.5,6.0,13.0,2.5,6.5,13.0,21.0,D,D,D,L,W,D,L,W,W,W,0,0,0,0,0,0,0,0,0,-0.38095238095238093,-0.3333333333333333,-0.47619047619047616,0.0,2.0
4647,H,1.0,1.0,22.0,11.0,9.0,5.0,5.0,13.0,4.0,8.0,0.0,3.0,0.0,0.0,1.16,3.5,2.87,1.15,3.5,2.75,1.2,3.3,2.85,1.17,3.4,2.88,1.17,3.5,2.8,21.0,W,L,D,D,W,L,D,W,D,W,2,0,0,0,0,0,0,0,0,1.0952380952380953,-0.09523809523809523,0.6666666666666666,0.09523809523809523,-8.0
4648,D,0.0,0.0,23.0,16.0,6.0,6.0,10.0,15.0,12.0,8.0,3.0,2.0,0.0,0.0,1.25,5.25,10.0,1.25,5.0,8.5,1.25,4.8,7.5,1.25,5.0,11.0,1.25,5.25,10.0,21.0,D,L,D,D,W,L,W,L,L,D,-4,0,0,0,0,0,0,0,0,0.8095238095238095,-0.7619047619047619,1.1428571428571428,0.2857142857142857,-2.0
4649,D,0.0,0.0,6.0,8.0,2.0,1.0,11.0,8.0,3.0,1.0,1.0,1.0,0.0,0.0,13.0,7.5,17.0,13.0,7.0,17.0,8.5,6.5,15.0,13.0,7.0,15.0,15.0,7.0,20.0,21.0,L,L,W,W,L,D,L,L,L,L,1,0,0,1,0,0,0,0,0,-0.47619047619047616,-0.7619047619047619,-0.14285714285714285,-0.047619047619047616,0.0
4650,A,1.0,0.0,11.0,7.0,1.0,4.0,7.0,8.0,8.0,2.0,3.0,1.0,0.0,0.0,2.54,9.0,19.0,2.5,8.0,18.5,2.5,6.5,15.0,2.5,8.0,17.0,2.6,8.5,20.0,21.0,W,L,L,D,L,L,L,L,L,W,2,0,0,1,0,0,0,0,0,0.5238095238095238,-1.1904761904761905,0.42857142857142855,-0.047619047619047616,2.0
4651,D,0.0,1.0,16.0,22.0,2.0,6.0,12.0,6.0,5.0,8.0,0.0,0.0,0.0,0.0,4.5,6.75,1.25,4.5,6.5,1.22,4.8,6.0,1.3,4.8,6.0,1.25,4.5,7.0,1.22,21.0,L,W,D,W,W,W,W,W,D,W,3,0,0,0,0,1,1,0,0,-0.5714285714285714,1.3333333333333333,-1.9047619047619047,-0.3333333333333333,11.0
4652,D,0.0,1.0,17.0,16.0,3.0,9.0,14.0,7.0,10.0,4.0,2.0,1.0,0.0,0.0,2.54,4.0,1.8,2.4,3.8,1.78,2.6,3.6,1.75,2.5,3.8,1.75,2.55,4.0,1.8,21.0,D,W,L,D,L,W,D,D,L,D,7,0,0,0,0,0,0,0,0,-0.2857142857142857,0.47619047619047616,-1.0476190476190477,-0.3333333333333333,5.0
4653,D,0.0,1.0,8.0,26.0,1.0,10.0,8.0,12.0,1.0,7.0,1.0,3.0,0.0,0.0,17.0,3.29,2.79,17.0,3.2,2.75,15.0,3.3,2.6,15.0,3.3,2.8,20.0,3.3,2.75,21.0,L,D,W,L,D,L,L,L,L,D,1,0,0,0,0,0,0,0,0,-0.7619047619047619,-0.47619047619047616,0.09523809523809523,0.09523809523809523,9.0
4654,A,0.0,0.0,11.0,17.0,4.0,6.0,14.0,7.0,4.0,7.0,1.0,3.0,0.0,0.0,3.5,6.0,1.3,3.4,6.0,1.28,2.9,5.3,1.35,3.4,5.5,1.3,3.6,6.0,1.3,22.0,D,W,D,W,L,D,D,W,W,D,2,0,0,0,0,0,0,0,0,-0.4090909090909091,1.1363636363636365,-0.45454545454545453,-0.22727272727272727,12.0
4655,A,0.0,0.0,6.0,15.0,1.0,3.0,13.0,12.0,4.0,10.0,0.0,2.0,0.0,0.0,3.29,5.5,1.36,3.2,5.25,1.34,2.9,4.8,1.4,3.0,4.8,1.36,3.3,5.2,1.36,22.0,L,D,D,D,D,D,W,W,W,W,8,0,0,0,0,0,0,0,0,0.0,0.7272727272727273,-0.9090909090909091,-0.045454545454545456,1.0
4656,H,1.0,0.0,7.0,3.0,1.0,1.0,3.0,14.0,1.0,5.0,2.0,2.0,0.0,0.0,11.0,3.1,2.37,9.5,3.1,2.3,8.0,3.1,2.6,9.0,2.9,2.38,11.0,3.0,2.4,22.0,L,D,L,D,D,D,L,W,W,L,0,0,0,0,0,0,0,0,0,-0.045454545454545456,-0.4090909090909091,0.2727272727272727,-0.09090909090909091,-6.0
4657,A,0.0,0.0,1.0,11.0,1.0,2.0,10.0,11.0,0.0,3.0,1.0,2.0,0.0,0.0,19.0,3.2,2.14,18.5,3.2,2.1,13.0,3.35,2.2,17.0,3.2,2.15,17.0,3.25,2.15,22.0,L,D,D,L,W,W,L,L,L,L,7,0,0,0,0,0,0,0,0,0.0,-0.45454545454545453,-0.09090909090909091,0.0,-5.0
4658,H,0.0,1.0,15.0,9.0,4.0,4.0,11.0,14.0,8.0,1.0,4.0,4.0,0.0,0.0,1.28,3.79,1.66,1.25,3.7,1.67,1.3,3.6,1.75,1.25,3.6,1.7,1.25,3.8,1.7,22.0,D,L,W,W,W,L,W,L,W,L,-1,1,0,0,0,0,0,1,0,1.2272727272727273,0.5454545454545454,1.6818181818181819,0.45454545454545453,-14.0
4659,A,0.0,0.0,8.0,10.0,3.0,1.0,13.0,14.0,7.0,7.0,4.0,5.0,0.0,0.0,9.0,6.5,11.0,9.0,6.25,11.5,7.5,5.5,9.5,8.0,6.0,11.0,10.0,6.5,12.0,22.0,D,D,L,L,D,D,L,W,L,W,3,0,0,0,0,0,0,0,0,-0.7272727272727273,-0.5454545454545454,-0.09090909090909091,-0.2727272727272727,-6.0
4660,A,0.0,1.0,9.0,12.0,4.0,5.0,13.0,9.0,8.0,5.0,2.0,2.0,0.0,0.0,6.0,4.75,1.3,5.5,5.5,1.3,4.8,5.3,1.33,5.0,5.5,1.3,5.75,5.25,1.33,22.0,W,W,L,W,D,W,L,L,L,W,2,0,0,0,0,0,0,0,0,-1.1363636363636365,0.8181818181818182,-1.1363636363636365,-0.36363636363636365,13.0
4661,H,0.0,0.0,13.0,14.0,5.0,3.0,12.0,14.0,3.0,5.0,3.0,3.0,0.0,0.0,1.9,4.0,5.0,1.9,3.9,4.6,2.1,3.6,4.8,1.95,3.75,4.5,1.95,4.0,5.25,22.0,W,D,D,D,L,L,W,L,D,D,2,0,0,0,0,0,0,0,0,0.18181818181818182,-0.3181818181818182,0.2727272727272727,0.22727272727272727,1.0
4662,D,0.0,3.0,14.0,21.0,4.0,12.0,9.0,5.0,6.0,7.0,3.0,1.0,0.0,0.0,1.72,8.5,1.16,1.75,7.5,1.16,1.75,6.5,1.22,1.73,7.0,1.17,1.7,7.5,1.18,22.0,D,W,W,W,D,D,W,W,D,W,5,0,0,0,0,0,0,0,0,0.2727272727272727,0.3181818181818182,-0.3181818181818182,-0.18181818181818182,4.0
4663,D,1.0,0.0,12.0,13.0,5.0,5.0,9.0,12.0,5.0,3.0,2.0,3.0,0.0,0.0,1.3,3.39,1.9,1.3,3.4,1.9,1.33,3.4,2.1,1.3,3.3,1.95,1.33,3.4,1.95,22.0,W,W,W,D,W,L,L,W,W,D,5,0,0,0,0,0,0,0,0,0.8181818181818182,0.18181818181818182,0.8636363636363636,0.18181818181818182,-9.0
4664,D,0.0,0.0,19.0,11.0,6.0,5.0,11.0,7.0,8.0,4.0,2.0,1.0,0.0,0.0,2.6,3.79,1.66,2.6,3.9,1.62,2.75,3.9,1.7,2.7,3.75,1.67,2.63,3.9,1.67,23.0,D,W,W,L,W,L,D,D,W,L,0,0,0,0,0,0,0,0,0,0.2608695652173913,0.0,0.6956521739130435,0.30434782608695654,-11.0
4665,H,0.0,0.0,11.0,13.0,4.0,4.0,11.0,4.0,7.0,3.0,1.0,0.0,0.0,0.0,4.0,4.5,7.5,4.1,4.4,7.25,3.5,4.0,6.2,4.2,4.33,7.0,4.0,4.4,7.5,23.0,W,L,D,D,L,D,D,L,W,D,0,0,0,0,0,0,0,0,0,-0.4782608695652174,-0.43478260869565216,-0.391304347826087,0.21739130434782608,-2.0
4666,A,0.0,0.0,6.0,3.0,1.0,1.0,9.0,6.0,1.0,1.0,1.0,2.0,0.0,0.0,6.0,6.0,10.0,5.75,5.75,10.5,4.8,5.3,8.0,5.5,6.0,10.0,5.0,6.0,12.0,23.0,L,D,D,W,D,D,D,L,W,W,1,0,0,0,0,0,0,0,0,-0.43478260869565216,0.21739130434782608,-0.043478260869565216,-0.08695652173913043,7.0
4667,D,0.0,0.0,14.0,8.0,6.0,1.0,11.0,12.0,5.0,6.0,1.0,2.0,0.0,0.0,3.5,4.75,12.0,3.4,5.5,10.5,3.3,5.3,8.7,3.4,5.5,11.0,3.3,5.25,11.0,23.0,W,L,D,W,L,L,W,D,L,L,-1,0,0,0,0,0,0,0,0,-0.391304347826087,-1.1304347826086956,0.2608695652173913,0.13043478260869565,3.0
4668,H,0.0,0.0,31.0,12.0,8.0,0.0,10.0,11.0,7.0,6.0,0.0,2.0,0.0,0.0,1.25,3.5,5.5,1.25,3.5,5.25,1.35,3.7,4.4,1.29,3.4,5.5,1.29,3.5,5.4,23.0,D,L,W,L,W,D,W,D,L,W,3,0,0,0,0,0,0,0,0,0.8260869565217391,-0.043478260869565216,0.7391304347826086,0.21739130434782608,-5.0
4669,D,0.0,1.0,7.0,10.0,4.0,3.0,12.0,8.0,1.0,4.0,1.0,0.0,0.0,0.0,19.0,3.39,1.9,16.5,3.5,1.91,20.0,3.4,2.1,19.0,3.4,1.95,21.0,3.5,2.0,23.0,L,L,L,D,W,L,L,D,L,L,-1,0,0,0,0,0,0,0,0,0.5217391304347826,-0.6956521739130435,0.21739130434782608,0.043478260869565216,9.0
4670,H,1.0,1.0,10.0,15.0,3.0,6.0,12.0,13.0,4.0,5.0,2.0,2.0,0.0,0.0,4.09,3.2,2.37,4.33,3.1,2.35,3.5,3.15,2.3,4.33,3.1,2.4,4.5,3.13,2.45,23.0,L,D,D,D,D,L,L,W,L,D,1,0,0,0,0,0,0,0,0,-0.34782608695652173,-0.782608695652174,-0.17391304347826086,-0.17391304347826086,-8.0
4671,H,1.0,0.0,26.0,14.0,8.0,6.0,9.0,11.0,12.0,10.0,1.0,3.0,0.0,0.0,3.39,3.39,2.6,3.3,3.4,2.7,3.3,3.3,2.6,3.3,3.3,2.7,3.4,3.5,2.75,23.0,D,D,W,D,D,W,L,D,L,W,2,0,0,0,0,0,0,0,0,-0.30434782608695654,0.2608695652173913,-0.6521739130434783,-0.17391304347826086,4.0
4672,H,0.0,2.0,19.0,17.0,5.0,7.0,12.0,8.0,9.0,9.0,0.0,1.0,0.0,0.0,1.5,8.5,1.12,1.45,8.0,1.16,1.55,9.0,1.12,1.5,8.0,1.15,1.5,8.5,1.15,23.0,W,W,W,D,W,W,D,W,W,W,10,0,0,0,0,1,0,0,0,1.0434782608695652,1.2173913043478262,-0.6521739130434783,0.0,1.0
4673,H,0.0,0.0,21.0,11.0,6.0,4.0,10.0,10.0,6.0,10.0,0.0,3.0,0.0,0.0,1.8,3.29,2.29,1.75,3.3,2.2,1.8,3.35,2.2,1.75,3.2,2.3,1.8,3.3,2.38,23.0,W,L,D,L,D,D,D,W,W,L,6,0,0,0,0,0,0,0,0,0.782608695652174,-0.08695652173913043,1.3043478260869565,0.21739130434782608,-7.0
4674,H,0.0,1.0,12.0,17.0,3.0,2.0,10.0,16.0,5.0,3.0,2.0,0.0,0.0,0.0,1.75,3.29,2.0,1.72,3.2,2.0,1.7,3.3,2.0,1.75,3.1,2.05,1.75,3.3,2.0,24.0,L,W,D,W,D,D,W,L,D,D,0,0,0,0,0,0,0,0,0,0.25,-0.4583333333333333,0.7083333333333334,-0.08333333333333333,-9.0
4675,A,0.0,0.0,13.0,17.0,1.0,7.0,15.0,14.0,6.0,6.0,0.0,2.0,0.0,0.0,4.33,5.75,1.3,4.1,5.75,1.26,3.8,5.5,1.33,4.2,5.5,1.3,4.33,6.0,1.29,24.0,L,D,D,D,D,W,L,W,W,D,1,0,0,0,0,0,0,0,0,-0.75,0.25,-1.125,-0.16666666666666666,17.0
4676,A,0.0,2.0,8.0,20.0,2.0,9.0,10.0,14.0,2.0,6.0,3.0,2.0,0.0,0.0,4.5,7.0,1.22,4.2,7.0,1.22,4.0,6.0,1.25,4.33,6.5,1.22,4.4,7.0,1.22,24.0,L,W,L,W,D,D,D,D,L,D,2,0,0,0,0,0,0,0,0,-0.5416666666666666,0.875,-0.7916666666666666,-0.2916666666666667,10.0
4677,D,0.0,1.0,7.0,15.0,0.0,4.0,15.0,8.0,3.0,9.0,2.0,0.0,0.0,0.0,13.0,3.0,2.14,12.5,3.0,2.1,8.7,3.2,2.1,12.0,3.0,2.05,13.0,3.1,2.15,24.0,L,W,L,L,L,D,D,D,D,L,0,0,0,0,0,0,0,0,0,-0.125,-0.25,0.3333333333333333,-0.125,-3.0
4678,H,0.0,0.0,14.0,16.0,1.0,4.0,13.0,11.0,3.0,5.0,2.0,0.0,1.0,0.0,12.0,3.39,2.5,11.5,3.3,2.4,8.5,3.3,2.4,11.0,3.25,2.5,12.0,3.4,2.55,24.0,D,D,W,L,L,L,L,W,D,L,3,0,0,0,0,0,0,0,0,-0.08333333333333333,0.5833333333333334,0.3333333333333333,0.041666666666666664,-5.0
4679,H,1.0,0.0,11.0,12.0,4.0,4.0,7.0,11.0,6.0,4.0,3.0,0.0,0.0,0.0,2.29,3.39,1.95,2.2,3.25,1.9,2.3,3.5,1.9,2.3,3.3,1.95,2.25,3.4,1.95,24.0,L,D,W,W,D,D,W,L,W,W,1,0,0,0,0,0,0,0,0,1.25,-0.4583333333333333,1.75,0.08333333333333333,-15.0
4680,H,0.0,1.0,11.0,8.0,5.0,2.0,10.0,7.0,1.0,7.0,1.0,1.0,0.0,0.0,15.0,3.1,2.62,11.5,3.0,2.6,11.0,3.25,2.6,15.0,3.0,2.7,15.0,3.1,2.75,24.0,L,L,L,L,L,D,D,D,W,D,0,0,0,0,0,0,0,0,0,-0.125,-0.375,-0.041666666666666664,0.041666666666666664,-5.0
4681,D,1.0,0.0,8.0,13.0,6.0,5.0,9.0,8.0,3.0,4.0,1.0,2.0,0.0,0.0,3.1,4.2,4.75,3.0,3.9,4.75,2.75,3.9,4.8,3.0,4.0,4.5,3.0,4.2,4.6,24.0,W,W,D,D,W,W,D,D,L,L,0,0,0,0,0,0,0,0,0,0.2916666666666667,-0.375,0.041666666666666664,0.0,2.0
